"Ref_N","Reference"
1989,"Roth, H. H. (1967). White and black rhinoceros in Rhodesia. Oryx 9: 217-231"
1990,"Walpole, M. J., Morgan, D. M.,  Milledge, S.,  Bett, P., Leader, W. N. (2001). Population dynamics and future conservation of a free-ranging black rhinoceros (Diceros bicornis) population in Kenya. Biological Conservation 99(2): 237-243"
1991,"Kumar, R., & Ashokkumar, M. (2023). An Assessment of the Population Density of Greater One-Horned Rhinoceros in Uttar Pradesh and Their Distribution in India. In Tropical Forests-Ecology, Diversity and Conservation Status. Ed. Carmona E.C, Musarella C.M., & Ortiz A.C. IntechOpen"
1992,"Jnawali, S. R., Wegge, P. (1991). Space and Habitat Use By A Small Re-Introduced Population Of Greater One-Horned Rhinoceros (Rhinoceros Unicornis) In Royal Bardia National Park In Nepal - A Preliminary ReportRhinoceros Biology and Conservation. ED Ryder, O., A. San Diego, California . Zoological Society of San Diego"
1993,"Laurie, W. A.,  Lang, E. M., Groves, C. P. (1983). Rhinoceros unicornis. Mammalian Species 211: 1-6"
1994,"Rayan, D. M., Mohamad, S. W., Dorward, L., Aziz, S. A., Clements, G. R., Christopher, W. C. T., Traeholt, C., Magintan, D. (2012). Estimating the population density of the Asian tapir (Tapirus indicus) in a selectively logged forest in Peninsular Malaysia. Integrative Zoology, 7(4), 373-380."
1995,"Matola, S.,  Cuaron, A., D., Torgler-Rubio, H. (1997). Status and Action Plan of Baird's Tapir. Tapirs. ED Brooks, D., M., Bodmer, R., E., Matola, S. Gland, Switzerland and Cambridge, UK"
1996,"Williams, K. D. (1984). The Central American Tapir (Tapirus bairdii gill) in Northwestern Costa Rica. Michigan State University TY Dissertation, PhD"
1997,"Mejía-Correa, S., Diaz-Martinez, A., & Molina, R. (2014). Densidad y hábitos alimentarios de la danta Tapirus bairdii en el Parque Nacional Natural Los Katios, Colombia. Tapir Conservation, 23(32), 16-23."
1998,"Carbajal-Borges, J. P., Godínez-Gómez, O., & Mendoza, E. (2014). Density, abundance and activity patterns of the endangered Tapirus bairdii in one of its last strongholds in southern Mexico. Tropical Conservation Science, 7(1), 100-114."
1999,"Lizcano, D. J. C., Jaime (2000). Daily and Seasonal Activity of the Mountain Tapir (Tapirus pinchaque) in the Central Andes of Colombia. Journal of the Zoological Society of London 252: 429-435"
2000,"Trolle, M., Noss, A. J., Cordeiro, J. L. P., & Oliveira, L. F. B. (2008). Brazilian tapir density in the Pantanal: a comparison of systematic camera‐trapping and line‐transect surveys. Biotropica, 40(2), 211-217."
2001,"Noss, A. J., Cuéllar, R. L., Barrientos, J., Maffei, L., Cuéllar, E., Arispe, R., Rúmiz, D., Rivero, K. (2003). A camera trapping and radio telemetry study of lowland tapir (Tapirus terrestris) in Bolivian dry forests. plant diversity, 229, 44-45."
2002,"Ferreguetti, Á. C., Tomás, W. M., & Bergallo, H. G. (2017). Density, occupancy, and detectability of lowland tapirs, Tapirus terrestris, in Vale Natural Reserve, southeastern Brazil. Journal of Mammalogy, 98(1), 114-123."
2003,"Tobler, M. W., Hibert, F., Debeir, L., & Richard-Hansen, C. (2014). Estimates of density and sustainable harvest of the lowland tapir Tapirus terrestris in the Amazon of French Guiana using a Bayesian spatially explicit capture–recapture model. Oryx, 48(3), 410-419."
2004,"Perera, P., Karawita, H., & Jayasinghe, C. (2022). The applicability of camera trap data to monitor the cryptic Indian pangolin (Manus crassicaudata) populations: A survey from a tropical lowland rainforest in Southwest Sri Lanka. Global Ecology and Conservation, 34, e02046."
2005,"Mahmood, T., Ullah, A., Khalid, A., Akrim, F., Nadeem, M. S., Irshad, N., & Ahmad, T. (2023). Distribution, population estimation and awareness of indigenous community for the indian pangolin (Manis crassicaudata) in the kohat district, Pakistan. Journal of Animal & Plant Sciences, 33(5), 1080-1086."
2006,"Jayasekara, E. G. D. P., Dharmarathne, W. D. S. C., Padmalal, U. K. G. K., & Mahaulpatha, W. A. D. (2022). Camera trap data reveal the habitat associations, activity patterns and population density of Indian pangolin (Manis crassicaudata) in Maduru Oya National Park, Sri Lanka. Animal Biodiversity and Conservation, 45(2), 225-236."
2007,"彭杰.中华穿山甲（Manis pentadactyla）的生态地理分布、栖境选择及野生资源现状的研究.2021.重庆师范大学,MA thesis."
2008,"Taube, E., Vié, J. C., Fournier, P., Genty, C., & Duplantier, J. M. (1999). Distribution of Two Sympatric Species of Sloths (Choloepus didactylus and Bradypus tridactylus) along the Sinnamary River, French Guiana 1. Biotropica, 31(4), 686-691."
2009,"de Andrade, A. C., Medeiros, S., & Chiarello, A. G. (2020). City sloths and marmosets in Atlantic forest fragments with contrasting levels of anthropogenic disturbance. Mammal Research, 1-11."
2010,"Carvajal-Nieto, P., Giraldo, A., & Plese, T. (2013). Population density and some aspects of the habitat use of three toed sloth (Bradypus variegates) in an insular zone of biogeographic area of Chocò-Colombia. Boletín Científico. Centro de Museos. Museo de Historia Natural, 17(1), 101-110."
2011,"Pauli, J. N., Carey, C. C., & Peery, M. Z. (2017). Green sloths and brown cows: the role of dominant mammalian herbivores in carbon emissions for tropical agro‐ecosystems. Mammal Review, 47(2), 164-168."
2012,"Nowak, R. M. (1991). Walker's Mammals of the World. Baltimore MA and London Uk. The John Hopkins University Press"
2013,"Garcés-Restrepo, M. F., Carvajal-Nieto, P., Astorquiza, J. M., Sánchez-Vélez, E., & Giraldo, A. (2014). Densidad y estructura poblacional de Cebus capucinus curtus (Primates: Cebidae) y Bradypus variegatus gorgon (Pilosa: Bradypodidae), en Isla Gorgona, Colombia. Revista de Biología Tropical, 62, 447-456."
2014,"de Miranda, G. H., Tomas, W. M., Valladares-Padua, C. B., & Rodrigues, F. H. (2006). Giant anteater (Myrmecophaga tridactyla) population Survey in Emas National Park, Brazil--a proposed monitoring program. Endangered Species Update, 23(3), 96-104."
2015,"Desbiez, A. L. J., & Medri, Í. M. (2010). Density and habitat use by giant anteaters (Myrmecophaga tridactyla) and southern tamanduas (Tamandua tetradactyla) in the Pantanal wetland, Brazil. Edentata, 11(1), 4-11."
2016,"Shaw, J. H., Carter, T.S., & Machado-Neto, J.C. (1985). Ecology of the giant anteater Myrmecophaga tridactyla in Serra Da Canastra, Minas Gerais, Brazil: A pilot study. Armadillos, Sloths, and VermilinguasED Montgomery, G. G. 379-384"
2017,"Bertassoni, A., Bianchi, R. D. C., & Desbiez, A. L. J. (2021). Giant Anteater Population Density Estimation and Viability Analysis Through Motion‐Sensitive Camera Records. The Journal of Wildlife Management, 85(8), 1554-1562."
2018,"Fernandez-Duque, E., Rotundo, M., & Sloan, C. (2001). Density and population structure of owl monkeys (Aotus azarai) in the Argentinean chaco. American Journal of Primatology, 53(3), 99-108."
2019,"Stallings, JR (1985). Distribution and status of primates in Paraguay. Primate Conservation 6: 51-7"
2020,"Rathbun, G.B. & Gache, M.J. (1980). Ecological survey of the night monkey, Aotus trivirgatus, in Formosa Province, Argentina Primates 21: 211-219"
2021,"Hirche, A., Jimenez, A., Roncancio-Duque, N., & Ansorge, H. (2017). Population density of Aotus cf. lemurinus (Primates: Aotidae) in a Subandean forest patch on the eastern slopes of the western Andes, Region of Dapa, Yumbo, Valle del Cauca, Colombia. Primate Conservation, 31, 1-7."
2022,"Florez, L. C., Roncancio Duque, N., & Solari, S. (2022). Variation in population density of the Andean night monkey (Aotus lemurinus) in areas with different landscape characteristics. Therya, 13(3), 287-294."
2023,"Green (1978) Primate censusing in northern Colombia: a comparison of two techniques. Primates, 19(3), 537-550"
2024,"Aquino, R., & Encarnación, F. (1988). Population densities and geographic distribution of night monkeys (Aotus nancymai and Aotus vociferans)(Cebidae: Primates) in northeastern Peru. American Journal of Primatology, 14(4), 375-381"
2025,"Aquino, R., & Encarnación, F. (1986). Population structure of Aotus nancymai (Cebidae: Primates) in Peruvian Amazon lowland forest. American Journal of Primatology, 11(1), 1-7"
2026,"Johns, AD (1991) Forest disturbance and primates. In HO Box: Primate Responses"
2027,"Wright, P.C. (1989) the nocturnal primate niche in the New World.  J. Hum. Evol.  18: 635-658"
2028,"Aquino, R., Cornejo, F. M., & Heymann, E. W. (2013). Primate abundance and habitat preferences on the lower Urubamba and Tambo rivers, central–eastern Peruvian Amazonia. Primates, 54, 377-383."
2029,"Wolfheim, J.H. (1983) Primates of the world: distribution, abundance and conservation."
2030,"Wright, P.C. (1981) The Night Monkeys, Genus Aotus. In Ecology and behaviour of neotropical primates. eds. Coimbra-Filho, A.F., Mittermeier, R.A. Academia Brasileira de Ciencias. pp 211-240"
2031,"Peres, C.A. (1993). Structure and spatial organization of an Amazonian terra firme forest primate community.  J. Trop. Ecol.  9: 259-276"
2032,"Aquino, R., López, L., García, G., & Heymann, E. W. (2014). Diversity, abundance and habitats of the primates in the río Curaray basin, Peruvian Amazonia. Primate Conservation, 2014(28), 1-8."
2033,"Peres, C. A. (1997). Effects of habitat quality and hunting pressure on arboreal folivore densities in neotropical forests: a case study of howler monkeys (Alouatta spp.). Folia Primatologica, 68(3-5), 199-222."
2034,"Ferrari, S.F & Lopes, M.A. (1996) Primate populations in Eastern Amazonia. Adaptive radiations of Neotropical Primates. Norconk, M.A., Rosenberger, A.L. & Garber, P.A. Plenum Press, New York & London. pp53-68"
2035,"Hue, T., Caubet, M., & Moura, A. C. D. A. (2017). Howlers and marmosets in Pacatuba: an overcrowded existence in a semi-deciduous Atlantic forest fragment?. Mammalia, 81(4), 339-348."
2036,"Dvoskin, R., Juarez, C.P. & Fernandez-Duque, E. (2004). Population density of black howlers (Alouatta caraya) in the gallery forests of the Arginean Chaco: a preliminary assessment, Folia Primatologica, 75(2), 93-96."
2037,"Henriques & Cavalcante (2004) Neotropical Primates 12 (2): 78-83"
2038,"Rumiz, D. I. (1990). Alouatta caraya: population density and demography in northern Argentina. American Journal of Primatology, 21(4), 279-294."
2039,"Pope (1968) Biology of the Howler Monkey (Alouatta caraya). Biblioteca Primatolgica 7: 13-20"
2040,"Freese et al. (1982) Patterns and determinants of monkey densities in Peru and Bolivia, with notes on distributions.  Int. J. Primatol. 3: 53-90"
2041,"Bicca-Marques (1994) Padrao de utilazacao de ema ilha da mata por Alouatta caraya (Primates: Cebidae).  Rev. Bras. Biol. 54: 161-171"
2042,"Kowalewski, M. I. N. M., & Zunino, G. E. (1999). Impact of deforestation on a population of Alouatta caraya in northern Argentina. Folia Primatologica, 70(3), 163-166."
2043,"Chiarello, A. G. (1994). Diet of the brown howler monkey Alouatta fusca in a semi-deciduous forest fragment of southeastern Brazil. Primates, 35(1), 25-34."
2044,"Martins, M. M. (2005). Density of primates in four semi-deciduous forest fragments of São Paulo, Brazil. Biodiversity & Conservation, 14, 2321-2329."
2045,"Pinto, L. P. S., Costa, C. M. R., Strier, K. B., & Da Fonseca, G. A. B. (1993). Habitat, density and group size of primates in a Brazilian tropical forest. Folia Primatologica, 61(3), 135-143."
2046,"Chiarello, A.G. (2003). Primates of the Brazilian Atlantic forest: the influence of forest fragmentation on survival. Primates in Fragments, Ecology and Conservation (ed L.K. Marsh). Kluwer Academic, New York."
2047,"Chiarello, A.G. & de Melo, F.R. (2001) Primate population densities and sizes in Atlantic forest remnants of Northern Esp’rito Santo, Brazil. International Journal of Primatology, 22, 379-396"
2048,"Cosenza, B.A.P. & de Melo, F.R. (1998) Primates of the Serra so Brigareiro State Park, Minas Gerais, Brazil. Neotropical Primates 6: 19-21"
2049,"Mendes (1989). Estudio ecologico de Alouatta fusca (Primates: Cebidae) na estacao biologica de Caratinga, MG Rev. Nord. Biol 6: 71-104"
2050,"González-Solís, J., Guix, J. C., Mateos, E., & Llorens, L. (2002). Density estimates, group size and habitat use of monkeys (mammals: cebidae). Censuses of vertebrates in a Brazilian Atlantic rainforest area: the Paranapiacaba fragment. Barcelona, Universidad de Barcelona, 217p, 111-125."
2051,"Silva Jr, E. D. (1981). A preliminary survey of brown howler monkeys (Alouatta fusca) at the Cantareira Reserve (São Paulo, Brazil). Revista Brasileira de Biologia, 41(4), 897-909."
2052,"Ferreguetti, A. C., Oliveira, A., Pereira, B. C., Santori, R. T., Geise, L., & Bergallo, H. G. (2020). Encounter rate and behavior of Alouatta guariba clamitans in the Ilha Grande State Park, Rio de Janeiro state, Brazil. Zoologia (Curitiba), 37."
2053,"Assumpcao, C. T. D. (1983). Ecological study of the primates of Southeastern Brazil, with a reappraisal of Cebus apella races. KB thesis scanning project 2015."
2054,"Ingberman, B., Fusco-Costa, R., & de Araujo Monteiro-Filho, E. L. (2009). Population survey and demographic features of a coastal island population of Alouatta clamitans in Atlantic Forest, southeastern Brazil. International journal of primatology, 30(1), 1-14."
2055,"Gonzalez-Solis, J.,  Mateos, E.,  Manosa, S.,  Ontanon, M.,  GonzalezMartin, M., Guix, J. C. (1996). Abundance estimates of primates in an Atlantic rainforest area of southeastern Brazil. Mammalia 60(3): 488-491"
2056,"Neville M.K. (1972). Population structure of red howler monkeys  (Alouatta seniculus) in Trinidad and Venezuela. Fol Prim 17: 56-86"
2057,"Guillotin, M.,  Dubost, G., Sabatier, D. (1994). Food Choice and Food Competition among the three Major Primate Species of French-Guiana. Journal of Zoology 233: 551-579"
2058,"Estrada, A. (1982). Survey and census of howler monkeys (Alouatta palliata) in the rain forest of “Los Tuxtlas,” Veracruz, Mexico. American Journal of Primatology, 2(4), 363-372."
2059,"Sorensen & Fedigan (2000) Distribution of three monkey species along a gradient of disturbance. Biol Cons 92: 227-240"
2060,"Fishkin, A. S., & Sussman, R. W. (1987). Preliminary survey of the primates of the Zona Protectora and La Selva Biological Station, Northeast Costa Rica. Reconocimiento preliminar de los primates de la Zona Protectora y la Estación Biológica La Selva, noreste de Costa Rica. Primate Conservation., (8), 63-66."
2061,"Cervera, L., Lizcano, D. J., Tirira, D. G., & Donati, G. (2015). Surveying Two Endangered Primate Species (Alouatta palliata aequatorialis and Cebus aequatorialis) in the Pacoche Marine and Coastal Wildlife Refuge, West Ecuador. International Journal of Primatology, 36(5), 933-947."
